epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,609.659,1.89075,1.10011,1.2172,0.87752,0.80064,0.88379,0.41113,1.68625,0.78686,1.10901,0.00333061,0.00333061,0.00333061
2,1136.1,1.74335,0.85448,1.10441,0.87514,0.82047,0.88948,0.41547,1.67229,0.80373,1.10351,0.00661996,0.00661996,0.00661996
3,1657.12,1.75473,0.87436,1.11256,0.8756,0.81144,0.88231,0.41851,1.66715,0.82969,1.12149,0.00986531,0.00986531,0.00986531
4,2169.31,1.74849,0.87408,1.1127,0.8905,0.82963,0.90172,0.44256,1.61958,0.77661,1.10096,0.009802,0.009802,0.009802
5,2746.92,1.71052,0.83816,1.09861,0.89592,0.84827,0.91301,0.44918,1.62123,0.7574,1.10283,0.009736,0.009736,0.009736
6,3232.27,1.68505,0.8122,1.09049,0.90703,0.84859,0.9181,0.46013,1.59633,0.73396,1.09449,0.00967,0.00967,0.00967
7,3734.88,1.65954,0.78972,1.08137,0.90966,0.85721,0.92064,0.46475,1.58513,0.71697,1.08297,0.009604,0.009604,0.009604
8,4465.72,1.64212,0.77444,1.07524,0.90878,0.86824,0.92828,0.4732,1.55489,0.70368,1.0764,0.009538,0.009538,0.009538
9,5014.56,1.62681,0.76258,1.07171,0.91247,0.87251,0.9331,0.47762,1.55516,0.68655,1.07813,0.009472,0.009472,0.009472
10,5796.34,1.61024,0.74808,1.06528,0.91467,0.879,0.93639,0.48442,1.53229,0.67949,1.06205,0.009406,0.009406,0.009406
11,6402.96,1.59325,0.73417,1.06041,0.9193,0.87811,0.93653,0.48525,1.53551,0.66303,1.06373,0.00934,0.00934,0.00934
12,6900.92,1.57665,0.72495,1.05653,0.91739,0.87891,0.93681,0.48624,1.51906,0.66112,1.05933,0.009274,0.009274,0.009274
13,7386.11,1.57037,0.71861,1.05357,0.91926,0.88756,0.94108,0.48925,1.51879,0.65435,1.06039,0.009208,0.009208,0.009208
14,8247.89,1.56209,0.71234,1.0493,0.92103,0.88811,0.94259,0.49742,1.50381,0.64684,1.05146,0.009142,0.009142,0.009142
15,8769.95,1.55014,0.7041,1.04392,0.91606,0.89625,0.94358,0.4962,1.50671,0.63505,1.05424,0.009076,0.009076,0.009076
16,10062.8,1.54718,0.69997,1.04206,0.92149,0.89348,0.94466,0.49826,1.50378,0.63278,1.05314,0.00901,0.00901,0.00901
17,10551.8,1.53325,0.69253,1.03899,0.92035,0.89576,0.94652,0.50592,1.4785,0.62424,1.0437,0.008944,0.008944,0.008944
18,11251.2,1.53039,0.6884,1.03809,0.92704,0.89725,0.9489,0.50845,1.47561,0.61425,1.04475,0.008878,0.008878,0.008878
19,11832.2,1.51698,0.68048,1.03551,0.92692,0.8957,0.94871,0.50831,1.47278,0.61485,1.04251,0.008812,0.008812,0.008812
20,12379.1,1.51354,0.67975,1.03108,0.92525,0.89848,0.94908,0.51248,1.46639,0.60928,1.03968,0.008746,0.008746,0.008746
21,12872.2,1.50325,0.67342,1.03025,0.92932,0.89964,0.94979,0.51369,1.46193,0.6038,1.03651,0.00868,0.00868,0.00868
22,13402.1,1.50498,0.67216,1.0259,0.9294,0.90407,0.9533,0.5169,1.45399,0.59494,1.03417,0.008614,0.008614,0.008614
23,13914.2,1.49257,0.66575,1.02456,0.93194,0.9052,0.95339,0.5213,1.43838,0.59333,1.0293,0.008548,0.008548,0.008548
24,15158,1.48396,0.66102,1.02376,0.92991,0.90578,0.95376,0.52045,1.4427,0.59288,1.03185,0.008482,0.008482,0.008482
25,15646.6,1.48197,0.65837,1.02127,0.93221,0.90812,0.95482,0.52584,1.42685,0.58724,1.02603,0.008416,0.008416,0.008416
26,16836.1,1.47344,0.65431,1.02026,0.92942,0.91056,0.95539,0.52763,1.4194,0.58334,1.02043,0.00835,0.00835,0.00835
27,17365.6,1.46623,0.65033,1.01577,0.93268,0.91048,0.95669,0.52841,1.42038,0.57993,1.02124,0.008284,0.008284,0.008284
28,17854.4,1.46082,0.646,1.01435,0.9341,0.9134,0.95694,0.53048,1.41606,0.57909,1.02148,0.008218,0.008218,0.008218
29,19460.1,1.45656,0.64313,1.01237,0.93468,0.91355,0.95706,0.53233,1.40827,0.57418,1.0189,0.008152,0.008152,0.008152
30,19943.9,1.4487,0.63959,1.01172,0.93283,0.91544,0.95837,0.53478,1.39983,0.56841,1.01536,0.008086,0.008086,0.008086
31,20957.3,1.4441,0.63812,1.00877,0.93299,0.91685,0.95866,0.5373,1.39551,0.56665,1.01454,0.00802,0.00802,0.00802
32,21483.6,1.43919,0.63417,1.00848,0.93662,0.91629,0.95948,0.54032,1.3853,0.56196,1.01201,0.007954,0.007954,0.007954
33,21968.4,1.42942,0.63041,1.00278,0.93646,0.91538,0.95932,0.54212,1.3802,0.55897,1.00852,0.007888,0.007888,0.007888
34,22456.1,1.42414,0.62948,1.00129,0.93557,0.91704,0.95976,0.54272,1.37841,0.55808,1.00723,0.007822,0.007822,0.007822
35,23410.1,1.42114,0.62555,0.99812,0.93474,0.92006,0.96084,0.54469,1.37241,0.55622,1.00479,0.007756,0.007756,0.007756
36,23988.9,1.41565,0.62302,0.99843,0.93421,0.92113,0.96118,0.54808,1.36281,0.55155,1.00174,0.00769,0.00769,0.00769
37,24558.8,1.40854,0.61945,0.99647,0.93452,0.92182,0.96179,0.54989,1.35803,0.54882,0.99982,0.007624,0.007624,0.007624
38,25059.6,1.40258,0.61663,0.99337,0.93488,0.92174,0.96221,0.55178,1.35359,0.54575,0.99884,0.007558,0.007558,0.007558
39,25850.3,1.39807,0.61433,0.99213,0.93617,0.92271,0.96273,0.55343,1.34861,0.5437,0.99669,0.007492,0.007492,0.007492
40,26366.6,1.38895,0.61031,0.99134,0.93696,0.92229,0.96299,0.55514,1.3418,0.54083,0.99523,0.007426,0.007426,0.007426
41,26892.1,1.38188,0.60773,0.98923,0.93663,0.92335,0.96299,0.55707,1.33583,0.53849,0.99345,0.00736,0.00736,0.00736
42,27403.2,1.38308,0.60723,0.98843,0.93735,0.92353,0.96334,0.55883,1.32988,0.53639,0.99135,0.007294,0.007294,0.007294
43,28522.6,1.37444,0.60548,0.98604,0.93696,0.92477,0.96365,0.56026,1.3249,0.53457,0.98945,0.007228,0.007228,0.007228
