epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,238.723,1.32587,0.60925,1.09665,0.93114,0.92528,0.96015,0.61931,1.12543,0.48599,1.10871,0.00332762,0.00332762,0.00332762
2,481.665,1.27549,0.58018,1.07268,0.93159,0.9163,0.95939,0.60233,1.16376,0.50258,1.11574,0.00659501,0.00659501,0.00659501
3,713.02,1.29335,0.59302,1.07976,0.92487,0.90493,0.95272,0.58519,1.18946,0.51442,1.12699,0.0097964,0.0097964,0.0097964
4,1078.18,1.32732,0.61877,1.08967,0.92449,0.91208,0.95882,0.58464,1.19173,0.51724,1.12004,0.009703,0.009703,0.009703
5,1313.27,1.32195,0.61697,1.08544,0.93199,0.89496,0.95373,0.57351,1.21385,0.51801,1.12384,0.009604,0.009604,0.009604
6,1565.96,1.31145,0.60859,1.08296,0.92319,0.90579,0.95307,0.5703,1.22287,0.51438,1.12435,0.009505,0.009505,0.009505
7,1801.16,1.3024,0.60243,1.07963,0.91938,0.89532,0.94998,0.55796,1.24614,0.52451,1.13057,0.009406,0.009406,0.009406
8,2036.41,1.28607,0.5922,1.07024,0.92079,0.89995,0.94943,0.56785,1.20479,0.50602,1.10486,0.009307,0.009307,0.009307
9,2266.76,1.27548,0.58774,1.06941,0.91968,0.90018,0.94888,0.5637,1.21807,0.507,1.11487,0.009208,0.009208,0.009208
10,4317.79,1.26744,0.58332,1.06584,0.92511,0.90287,0.95356,0.56739,1.21857,0.50022,1.11484,0.009109,0.009109,0.009109
11,4547.49,1.25709,0.57883,1.06109,0.91813,0.90708,0.95213,0.56153,1.22107,0.50177,1.11334,0.00901,0.00901,0.00901
12,4838.25,1.24718,0.57407,1.05768,0.9256,0.90123,0.95083,0.56709,1.21575,0.50231,1.11002,0.008911,0.008911,0.008911
13,5068.69,1.23811,0.56536,1.05271,0.91568,0.90551,0.94898,0.5634,1.23495,0.50223,1.12133,0.008812,0.008812,0.008812
14,5301.71,1.22646,0.56108,1.05002,0.92284,0.90013,0.95133,0.56894,1.2029,0.49456,1.10296,0.008713,0.008713,0.008713
15,5536.5,1.22305,0.561,1.04869,0.92732,0.89518,0.95363,0.56472,1.21861,0.49079,1.11541,0.008614,0.008614,0.008614
16,5774.97,1.21544,0.55423,1.04767,0.92283,0.90773,0.95382,0.56707,1.21611,0.48577,1.10696,0.008515,0.008515,0.008515
17,6001.65,1.19961,0.54467,1.04045,0.92213,0.91337,0.95636,0.57076,1.21186,0.48225,1.10357,0.008416,0.008416,0.008416
18,9086.73,1.1951,0.54433,1.03889,0.92718,0.90114,0.95208,0.56514,1.2226,0.48256,1.11461,0.008317,0.008317,0.008317
19,9416.61,1.17983,0.53905,1.03388,0.9242,0.90135,0.95235,0.55976,1.23326,0.48576,1.11756,0.008218,0.008218,0.008218
20,9651.8,1.17461,0.53624,1.03212,0.92383,0.8993,0.95099,0.56346,1.21927,0.48373,1.11097,0.008119,0.008119,0.008119
21,9906.06,1.16434,0.53254,1.02618,0.9217,0.90504,0.9514,0.56165,1.23686,0.48493,1.12027,0.00802,0.00802,0.00802
22,10145,1.15256,0.52822,1.02587,0.9303,0.89903,0.95339,0.56514,1.21851,0.47759,1.11355,0.007921,0.007921,0.007921
23,10375.2,1.15229,0.52339,1.02071,0.92208,0.89951,0.94826,0.5614,1.2206,0.48152,1.10737,0.007822,0.007822,0.007822
24,10677.6,1.14567,0.52074,1.01666,0.92542,0.89085,0.94603,0.56151,1.23116,0.48485,1.11376,0.007723,0.007723,0.007723
25,10907.5,1.13462,0.51667,1.01824,0.92508,0.89983,0.95204,0.56383,1.22021,0.47842,1.10656,0.007624,0.007624,0.007624
26,11146,1.12739,0.51574,1.01398,0.92811,0.89377,0.94895,0.55777,1.23982,0.47953,1.11516,0.007525,0.007525,0.007525
27,11442.8,1.12302,0.51202,1.0111,0.92215,0.89789,0.94911,0.55978,1.23713,0.48006,1.11928,0.007426,0.007426,0.007426
28,11711.4,1.11243,0.5078,1.00925,0.92607,0.90287,0.95252,0.56216,1.2252,0.47495,1.10652,0.007327,0.007327,0.007327
29,11975.8,1.10653,0.50508,1.00699,0.92855,0.89908,0.95209,0.56593,1.22168,0.47178,1.10963,0.007228,0.007228,0.007228
30,12219.6,1.10107,0.50365,1.00628,0.93118,0.89665,0.94953,0.55826,1.23408,0.47416,1.11341,0.007129,0.007129,0.007129
31,12514.4,1.08972,0.49777,1.00041,0.92592,0.90536,0.95317,0.56481,1.22459,0.46925,1.10571,0.00703,0.00703,0.00703
32,12754.3,1.08513,0.49765,1.00056,0.93379,0.89649,0.95417,0.56272,1.22995,0.46921,1.11307,0.006931,0.006931,0.006931
33,13026.3,1.07514,0.49146,0.99783,0.92627,0.8978,0.9502,0.55798,1.23849,0.46889,1.11552,0.006832,0.006832,0.006832
34,13287.4,1.07848,0.4929,0.99666,0.92717,0.90471,0.9515,0.56398,1.22208,0.46483,1.1111,0.006733,0.006733,0.006733
35,13607.4,1.07102,0.48853,0.99317,0.9316,0.89674,0.94985,0.56369,1.22701,0.46433,1.11105,0.006634,0.006634,0.006634
36,13858.1,1.061,0.48444,0.99297,0.92929,0.90157,0.95377,0.56298,1.22772,0.46548,1.11187,0.006535,0.006535,0.006535
37,14128.2,1.0471,0.47896,0.98919,0.93346,0.89312,0.95016,0.55886,1.2329,0.46755,1.10898,0.006436,0.006436,0.006436
