epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,814.244,1.36535,2.1641,1.83703,0.07682,0.58353,0.07344,0.03052,1.80494,6.53246,2.71177,0.000555566,0.000555566,0.000555566
2,1503.04,1.33288,2.07804,1.80978,0.40772,0.5371,0.35224,0.18266,1.5074,2.45492,2.20716,0.00108923,0.00108923,0.00108923
3,2195.13,1.21395,1.95448,1.70842,0.37841,0.59038,0.35566,0.19742,1.3605,2.15458,1.99086,0.00160089,0.00160089,0.00160089
4,3031.8,1.14906,1.83605,1.66195,0.38722,0.62617,0.38771,0.23629,1.31612,1.7004,1.88744,0.00156798,0.00156798,0.00156798
5,3973.51,1.0751,1.76817,1.60033,0.44686,0.67178,0.41332,0.27414,1.07965,1.74482,1.64573,0.00153497,0.00153497,0.00153497
6,4866.02,1.01271,1.69339,1.55028,0.45996,0.68848,0.43731,0.31076,0.98403,1.6666,1.54467,0.00150197,0.00150197,0.00150197
7,5791.04,1.01461,1.64255,1.55569,0.43706,0.65496,0.42,0.30175,0.98504,1.48104,1.5209,0.00146896,0.00146896,0.00146896
8,6508.12,0.96796,1.59411,1.51654,0.45741,0.71579,0.4393,0.29438,1.09045,1.4418,1.65083,0.00143595,0.00143595,0.00143595
9,7344.5,0.94201,1.56024,1.49846,0.45907,0.69508,0.43415,0.32133,0.93392,1.41577,1.49513,0.00140295,0.00140295,0.00140295
10,8175.88,0.9048,1.51613,1.46384,0.46431,0.78819,0.46401,0.34574,0.93337,1.28231,1.48196,0.00136994,0.00136994,0.00136994
11,9006.27,0.89658,1.50605,1.4593,0.48342,0.78299,0.47622,0.34489,0.95788,1.2797,1.55607,0.00133693,0.00133693,0.00133693
12,9854.86,0.88041,1.48043,1.44417,0.48356,0.71993,0.48633,0.36356,0.89788,1.31782,1.42321,0.00130393,0.00130393,0.00130393
13,10692.8,0.87833,1.47059,1.4439,0.50543,0.70386,0.57272,0.43291,0.83884,1.28293,1.42768,0.00127092,0.00127092,0.00127092
14,11527.3,0.86105,1.41577,1.43073,0.6257,0.65406,0.6698,0.49534,0.89848,1.26306,1.45176,0.00123791,0.00123791,0.00123791
15,12368.8,0.83884,1.39699,1.41847,0.70941,0.63553,0.70479,0.52404,0.88638,1.19155,1.41932,0.00120491,0.00120491,0.00120491
16,13221.5,0.8393,1.38074,1.40999,0.61147,0.70273,0.65718,0.48789,0.85082,1.23182,1.38018,0.0011719,0.0011719,0.0011719
17,14084.9,0.81439,1.32492,1.40058,0.72605,0.68388,0.74302,0.55269,0.85885,1.11481,1.41232,0.00113889,0.00113889,0.00113889
18,14924.5,0.79711,1.29364,1.38114,0.71985,0.70504,0.7604,0.53274,0.91164,1.14994,1.41272,0.00110589,0.00110589,0.00110589
19,15762.3,0.79199,1.26016,1.37826,0.81263,0.74103,0.82658,0.6113,0.86925,0.99545,1.39454,0.00107288,0.00107288,0.00107288
20,16533.6,0.77766,1.24006,1.35712,0.80761,0.7074,0.8091,0.62927,0.81195,1.04082,1.35956,0.00103987,0.00103987,0.00103987
21,17375.6,0.77695,1.2319,1.35896,0.80577,0.74024,0.8248,0.64113,0.79161,0.97705,1.34236,0.00100687,0.00100687,0.00100687
22,18217.2,0.76491,1.18876,1.35329,0.87106,0.74876,0.84953,0.6621,0.77269,0.9112,1.29971,0.000973861,0.000973861,0.000973861
23,19062.6,0.76283,1.1673,1.34954,0.84186,0.76521,0.85924,0.64035,0.86598,0.93001,1.42927,0.000940855,0.000940855,0.000940855
24,19908,0.78213,1.17689,1.36503,0.78128,0.72447,0.81741,0.61594,0.87109,1.0656,1.38169,0.000907848,0.000907848,0.000907848
25,20751.8,0.75824,1.1647,1.34385,0.8478,0.7543,0.83987,0.65658,0.80025,0.93083,1.34551,0.000874842,0.000874842,0.000874842
26,21593.1,0.73549,1.11242,1.3283,0.80033,0.70961,0.81625,0.64379,0.78623,1.03991,1.32583,0.000841835,0.000841835,0.000841835
27,22438.4,0.73692,1.10796,1.32669,0.85548,0.74591,0.84983,0.66385,0.80414,0.97643,1.33264,0.000808828,0.000808828,0.000808828
28,23280.7,0.73532,1.09634,1.32538,0.83578,0.77043,0.85415,0.68583,0.74873,0.8861,1.29114,0.000775822,0.000775822,0.000775822
29,24111.3,0.72288,1.06608,1.3138,0.81963,0.78047,0.85951,0.67424,0.78858,0.93306,1.30511,0.000742815,0.000742815,0.000742815
30,24949.7,0.71367,1.0613,1.31002,0.82886,0.72926,0.83883,0.67126,0.76333,0.98725,1.30048,0.000709809,0.000709809,0.000709809
31,25787.7,0.71289,1.04687,1.30952,0.88314,0.77111,0.87461,0.6902,0.76388,0.81305,1.30109,0.000676802,0.000676802,0.000676802
32,26630.3,0.71449,1.03171,1.31349,0.89413,0.77082,0.88573,0.71142,0.74956,0.79561,1.30443,0.000643795,0.000643795,0.000643795
33,27482.1,0.708,1.01021,1.30427,0.88494,0.76492,0.87895,0.71156,0.72135,0.77975,1.27974,0.000610789,0.000610789,0.000610789
34,28318.1,0.68806,0.98874,1.29692,0.88919,0.78898,0.88819,0.72844,0.70162,0.76978,1.23906,0.000577782,0.000577782,0.000577782
35,29155.3,0.68278,0.96337,1.28029,0.87058,0.79071,0.88183,0.70981,0.75698,0.77229,1.28248,0.000544776,0.000544776,0.000544776
36,29996.2,0.67264,0.96214,1.28294,0.86441,0.7867,0.87678,0.71008,0.70212,0.8262,1.22705,0.000511769,0.000511769,0.000511769
37,30839.2,0.67321,0.94991,1.28095,0.8572,0.79571,0.8797,0.69417,0.7694,0.85517,1.30435,0.000478762,0.000478762,0.000478762
38,31684,0.6668,0.93654,1.26763,0.87105,0.78848,0.88739,0.724,0.70349,0.73912,1.25019,0.000445756,0.000445756,0.000445756
39,32517.6,0.66304,0.92723,1.27358,0.85187,0.79467,0.87143,0.72778,0.65063,0.75439,1.19163,0.000412749,0.000412749,0.000412749
40,33359.6,0.65748,0.91973,1.26621,0.87972,0.80348,0.8906,0.72236,0.70515,0.77668,1.24751,0.000379743,0.000379743,0.000379743
41,34204.7,0.51906,0.61053,1.20958,0.88486,0.81072,0.89394,0.74092,0.66856,0.74608,1.21035,0.000346736,0.000346736,0.000346736
42,35042.4,0.49957,0.5483,1.19289,0.90604,0.77224,0.88827,0.73232,0.67367,0.75807,1.20776,0.000313729,0.000313729,0.000313729
43,35875.3,0.48715,0.52841,1.17812,0.88513,0.80626,0.88724,0.72933,0.69966,0.75817,1.24242,0.000280723,0.000280723,0.000280723
44,36710.6,0.47608,0.51104,1.16456,0.87519,0.80575,0.88319,0.72807,0.69066,0.82909,1.22208,0.000247716,0.000247716,0.000247716
45,37552.7,0.45797,0.47958,1.15541,0.88381,0.77213,0.87159,0.71097,0.70244,0.85835,1.24025,0.00021471,0.00021471,0.00021471
46,38303.1,0.45082,0.46257,1.1469,0.86955,0.77168,0.87615,0.71655,0.69722,0.85737,1.23087,0.000181703,0.000181703,0.000181703
47,39106.4,0.44022,0.45271,1.13525,0.86695,0.78076,0.87439,0.71577,0.71566,0.85487,1.24735,0.000148696,0.000148696,0.000148696
48,39996.5,0.43495,0.43432,1.12735,0.8762,0.78034,0.87655,0.72208,0.69119,0.85018,1.21503,0.00011569,0.00011569,0.00011569
49,40828.2,0.42106,0.41685,1.11644,0.88103,0.76024,0.87163,0.71893,0.68289,0.8962,1.21598,8.26832e-05,8.26832e-05,8.26832e-05
50,41566,0.41551,0.40977,1.11225,0.90688,0.74868,0.87072,0.71778,0.69071,0.90533,1.22546,4.96766e-05,4.96766e-05,4.96766e-05
